"","T cell","stellate","myCAF","TAM","Ductal","Acinar","Venous","Artery","B cell","iCAF","Capillary","MDSC","NKT cell","Endocrine","Proliferative Plasma cell","Mast"
"G1-A",0.150142180094787,0.0155450236966825,0.00853080568720379,0.0265402843601896,0,0.00018957345971564,0.0801895734597156,0.00587677725118483,0.0028436018957346,0,0.200379146919431,0.0121327014218009,0.0644549763033175,0.429952606635071,0.00018957345971564,0.00303317535545024
"G1-B",0.00892857142857143,0.0155187074829932,0.00701530612244898,0.0148809523809524,0.000212585034013605,0,0.0286989795918367,0.00276360544217687,0.00106292517006803,0.000637755102040816,0.0584608843537415,0.00106292517006803,0.00361394557823129,0.852465986394558,0.000425170068027211,0.00425170068027211
"G1-C",0.0144478844169247,0.101651186790506,0.0902992776057792,0.0154798761609907,0.00206398348813209,0.000515995872033024,0.0815273477812178,0.00361197110423117,0,0.00257997936016512,0.328689370485036,0.00206398348813209,0.0134158926728586,0.289473684210526,0,0.0541795665634675
"G1-D",0.182444686253174,0.0250272034820457,0.121871599564744,0.069278200943054,0.0275661951396445,0.00797968806673921,0.107725788900979,0.00870511425462459,0.00362713093942691,0.0119695321001088,0.259702575262967,0.0337323177366703,0.0428001450852376,0.0116068190061661,0.00145085237577077,0.0845121508886471
"G1-E",0.124,0.0832727272727273,0.0516363636363636,0.0301818181818182,0.0298181818181818,0.0145454545454545,0.136727272727273,0.004,0.0178181818181818,0.00472727272727273,0.0821818181818182,0.00618181818181818,0.02,0.393090909090909,0.000363636363636364,0.00145454545454545
"G2-A",0.0444874274661509,0.0528691166989039,0.108317214700193,0.0103159252095422,0.0193423597678917,0.00128949065119278,0.16956802063185,0.0664087685364281,0.000644745325596389,0.0548033526756931,0.423597678916828,0.00128949065119278,0.0303030303030303,0.0122501611863314,0,0.00451321727917473
"G2-B",0.0299860529986053,0.154114365411437,0.0271966527196653,0.0104602510460251,0,0,0.150627615062762,0.00418410041841004,0.00348675034867503,0,0.317294281729428,0.0160390516039052,0.0906555090655509,0.190376569037657,0,0.00557880055788006
"G3-A",0.333189655172414,0.00237068965517241,0.00474137931034483,0.0146551724137931,0,0,0.0157327586206897,0.000646551724137931,0.442887931034483,0.00150862068965517,0.00280172413793103,0.0114224137931034,0.0788793103448276,0.040301724137931,0.0506465517241379,0.00021551724137931
"G3-B",0.142786398151205,0.114889402443051,0.151700231099373,0.155992076592935,0.0845163420270716,0.0879828326180258,0.0889732585011555,0.010564542753384,0.0132056784417299,0.0889732585011555,0.0118851105975569,0.00841862000660284,0.0155166721690327,0.0234400792340707,0.000990425883129746,0.000165070980521624
"G3-C",0.000751314800901578,0.0383170548459805,0.0653643876784373,0.0991735537190083,0.450788880540947,0.0465815176558978,0.0984222389181067,0.00300525920360631,0,0.0833959429000751,0.0105184072126221,0.000751314800901578,0.00300525920360631,0.0991735537190083,0.000751314800901578,0
